,index,title,domestic_gross,foreign_gross,release_date,genres,vote_average,popularity,worldwide_gross,production_budget,genre1,genre2,genre3
0,3,Percy Jackson & The Olympians: The Lightning Thief,88800000.0,137700000.0,2010-02-11,"Adventure,Family,Fantasy",6.1,26.691,226500000.0,,Adventure,Family,Fantasy
1,14,The King's Speech,135500000.0,275400000.0,2010-09-06,"Biography,Drama,History",7.7,16.798,410900000.0,,Biography,Drama,History
2,18,The Back-Up Plan,37500000.0,40000000.0,2010-04-23,"Comedy,Romance",6.0,15.49,77500000.0,,Comedy,Romance,
3,27,Scott Pilgrim vs. the World,31500000.0,16100000.0,2010-08-13,"Action,Comedy,Fantasy",7.3,14.383,47600000.0,,Action,Comedy,Fantasy
4,44,Prince of Persia: The Sands of Time,90800000.0,245600000.0,2010-05-27,"Action,Adventure,Fantasy",6.2,13.44,336400000.0,,Action,Adventure,Fantasy
5,49,From Paris with Love,24100000.0,28700000.0,2010-02-05,"Action,Crime,Thriller",6.2,12.862,52800000.0,,Action,Crime,Thriller
6,53,The Secret in Their Eyes,6400000.0,27600000.0,2010-04-16,,7.9,12.531,34000000.0,,,,
7,60,The Girl Who Kicked the Hornet's Nest,5200000.0,38300000.0,2010-10-29,,7.0,12.235,43500000.0,,,,
8,69,Tales from Earthsea,48500.0,68600000.0,2010-08-13,,6.6,12.005,68648500.0,,,,
9,74,The Girl Who Played with Fire,7600000.0,59500000.0,2010-07-09,,7.0,11.655,67100000.0,,,,
10,105,Wall Street: Money Never Sleeps,52500000.0,82300000.0,2010-09-20,Drama,6.0,10.177,134800000.0,,Drama,,
11,118,When in Rome,32700000.0,10400000.0,2010-01-29,"Comedy,Romance",5.9,9.926,43100000.0,,Comedy,Romance,
12,146,Bitch Slap,17400.0,182000.0,2010-01-08,,4.7,9.253,199400.0,,,,
13,147,Heartbreaker,504000.0,46900000.0,2010-09-10,"Comedy,Romance",6.6,9.241,47404000.0,,Comedy,Romance,
14,161,Cave of Forgotten Dreams,5300000.0,1200000.0,2010-11-03,"Documentary,History",7.3,8.762,6500000.0,,Documentary,History,
15,162,22 Bullets,,21300000.0,2010-03-24,"Action,Crime,Drama",6.5,8.697,,,Action,Crime,Drama
16,163,Exit Through the Gift Shop,3300000.0,2000000.0,2010-01-24,"Comedy,Crime,Documentary",7.7,8.696,5300000.0,,Comedy,Crime,Documentary
17,168,London Boulevard,16100.0,4600000.0,2010-11-12,"Crime,Drama",5.9,8.469,4616100.0,,Crime,Drama,
18,172,Twelve,184000.0,2400000.0,2010-07-30,,5.9,8.46,2584000.0,,,,
19,189,Last Night,99000.0,7600000.0,2010-09-18,Comedy,6.1,8.244,7699000.0,,Comedy,,
20,194,Mesrine: Killer Instinct,552000.0,30500000.0,2010-08-27,,7.4,8.131,31052000.0,,,,
21,195,The Company Men,4400000.0,441000.0,2010-10-21,Drama,6.6,8.109,4841000.0,,Drama,,
22,196,Alpha and Omega,25100000.0,25400000.0,2010-09-17,"Adventure,Animation,Comedy",5.4,8.108,50500000.0,,Adventure,Animation,Comedy
23,197,14 Blades,,3800000.0,2010-02-04,"Action,History,Thriller",6.6,7.948,,,Action,History,Thriller
24,200,Dabangg,1300000.0,1700000.0,2010-09-10,,6.2,7.831,3000000.0,,,,
25,202,Inhale,4100.0,51000.0,2010-10-01,"Drama,Thriller",6.1,7.826,55100.0,,Drama,Thriller,
26,208,The Red Baron,37200.0,3100.0,2010-02-11,,6.5,7.676,40300.0,,,,
27,209,The Romantics,107000.0,17300.0,2010-09-10,"Comedy,Drama,Romance",4.9,7.676,124300.0,,Comedy,Drama,Romance
28,213,King of Devil's Island,7600.0,4200000.0,2010-12-20,"Action,Drama",7.3,7.616,4207600.0,,Action,Drama,
29,215,Greenberg,4200000.0,1900000.0,2010-03-26,"Comedy,Drama,Romance",5.9,7.57,6100000.0,,Comedy,Drama,Romance
30,222,The Way Back,2700000.0,17600000.0,2010-09-03,"Adventure,Drama,History",6.9,7.503,20300000.0,,Adventure,Drama,History
31,224,Tamara Drewe,560000.0,11400000.0,2010-12-30,"Comedy,Drama,Romance",5.8,7.364,11960000.0,,Comedy,Drama,Romance
32,227,Catfish,3200000.0,242000.0,2010-09-17,"Documentary,Drama,Mystery",6.8,7.172,3442000.0,,Documentary,Drama,Mystery
33,230,Howl,617000.0,566000.0,2010-09-24,"Action,Fantasy,Horror",6.8,7.12,1183000.0,,Action,Fantasy,Horror
34,231,Restrepo,1300000.0,105000.0,2010-06-25,"Documentary,War",7.5,7.119,1405000.0,,Documentary,War,
35,238,How Do You Know,30200000.0,18500000.0,2010-12-17,"Comedy,Drama,Romance",5.1,6.753,48700000.0,,Comedy,Drama,Romance
36,240,HappyThankYouMorePlease,216000.0,,2010-01-20,"Comedy,Drama,Romance",6.5,6.645,,,Comedy,Drama,Romance
37,243,GasLand,30800.0,18600.0,2010-01-24,Documentary,7.5,6.468,49400.0,,Documentary,,
38,250,I'm Still Here,409000.0,160000.0,2010-09-10,"Documentary,Family",6.0,6.386,569000.0,,Documentary,Family,
39,251,Hubble 3D,52400000.0,21500000.0,2010-03-19,,7.1,6.346,73900000.0,,,,
40,257,The Women on the 6th Floor,720000.0,22500000.0,2010-12-20,Comedy,6.7,6.281,23220000.0,,Comedy,,
41,258,Red Hill,21100.0,300000.0,2010-11-05,"Thriller,Western",6.1,6.269,321100.0,,Thriller,Western,
42,260,Terkel in Trouble,10800.0,,2010-03-26,,6.4,6.135,,,,,
43,261,"Waiting for ""Superman""",6400000.0,9300.0,2010-09-24,,7.0,6.068,6409300.0,,,,
44,263,Kaboom,119000.0,421000.0,2010-10-06,"Comedy,Mystery,Romance",5.7,6.052,540000.0,,Comedy,Mystery,Romance
45,266,Guzaarish,1000000.0,695000.0,2010-11-19,Drama,7.6,5.919,1695000.0,,Drama,,
46,269,Rare Exports: A Christmas Tale,236000.0,3800000.0,2010-12-03,"Adventure,Fantasy,Horror",6.5,5.704,4036000.0,,Adventure,Fantasy,Horror
47,270,When You're Strange,246000.0,901000.0,2010-04-09,,7.6,5.582,1147000.0,,,,
48,272,Babies,7300000.0,2200000.0,2010-05-07,Documentary,7.0,5.45,9500000.0,,Documentary,,
49,273,An Invisible Sign,1300.0,,2010-10-06,"Comedy,Drama,Family",5.1,5.342,,,Comedy,Drama,Family
50,274,Golmaal 3,1100000.0,935000.0,2010-11-05,"Action,Comedy",5.4,5.278,2035000.0,,Action,Comedy,
51,275,Vincere,619000.0,5100000.0,2010-03-19,,6.5,5.254,5719000.0,,,,
